cve_id,title,description,published_date,last_modified,remotely_exploit,source,category,affected_products,cvss_scores,url
CVE-2010-0157,Joomla Bible Study Directory Traversal Vulnerability,Directory traversal vulnerability in the Bible Study (com_biblestudy) component 6.1 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the controller parameter in a studieslist action to index.php.,"Jan. 6, 2010, 10 p.m.","April 9, 2025, 12:30 a.m.",Yes !,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Joomla"", ""product"": ""joomla\\!""}, {""id"": ""1"", ""vendor"": ""Joomlabiblestudy"", ""product"": ""com_biblestudy""}]","[{""score"": ""7.5"", ""version"": ""CVSS 2.0"", ""severity"": ""HIGH"", ""vector"": ""AV:N/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""10"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0157
CVE-2010-0158,JoomlaBamboo Simpla Admin Template SQL Injection,"SQL injection vulnerability in the JoomlaBamboo (JB) Simpla Admin template for Joomla! allows remote attackers to execute arbitrary SQL commands via the id parameter in an article action to the com_content component, reachable through index.php.  NOTE: the vendor disputes this report, saying: ""JoomlaBamboo has investigated this report, and it is incorrect.  There is no SQL injection vulnerability involving the id parameter in an article view, and there never was. JoomlaBamboo customers have no reason to be concerned about this report.","Jan. 6, 2010, 10 p.m.","April 9, 2025, 12:30 a.m.",Yes !,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Joomla"", ""product"": ""joomla""}, {""id"": ""1"", ""vendor"": ""Joomlabamboo"", ""product"": ""jb_simpla""}]","[{""score"": ""7.5"", ""version"": ""CVSS 2.0"", ""severity"": ""HIGH"", ""vector"": ""AV:N/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""10"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0158
CVE-2010-0220,Mozilla Firefox Memory Consumption Crash Denial of Service Vulnerability,"The following products are affected byCVE-2010-0220vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",Yes !,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Mozilla"", ""product"": ""firefox""}]","[{""score"": ""5"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:N/AC:L/Au:N/C:N/I:N/A:P"", ""exploitability_score"": ""10"", ""impact_score"": ""2.9"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0220
CVE-2010-0221,Kingston USB Flash Drives Host-Based Password Validation Vulnerability,"The following products are affected byCVE-2010-0221vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_blackbox""}, {""id"": ""2"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_elite""}, {""id"": ""3"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_secure""}]","[{""score"": ""2.1"", ""version"": ""CVSS 2.0"", ""severity"": ""LOW"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:N/A:N"", ""exploitability_score"": ""3.9"", ""impact_score"": ""2.9"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0221
CVE-2010-0222,Kingston DataTraveler USB Flash Drive Fixed Key Disclosure Vulnerability,"The following products are affected byCVE-2010-0222vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_blackbox""}, {""id"": ""2"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_elite""}, {""id"": ""3"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_secure""}]","[{""score"": ""4.6"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""3.9"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0222
CVE-2010-0223,Kingston USB Flash Drives Password Replay Vulnerability,"The following products are affected byCVE-2010-0223vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_blackbox""}, {""id"": ""2"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_elite""}, {""id"": ""3"", ""vendor"": ""Kingston"", ""product"": ""datatraveler_secure""}]","[{""score"": ""2.1"", ""version"": ""CVSS 2.0"", ""severity"": ""LOW"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:N/A:N"", ""exploitability_score"": ""3.9"", ""impact_score"": ""2.9"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0223
CVE-2010-0224,SanDisk Cruzer Enterprise Password Cracking via Host-Based Validation,"The following products are affected byCVE-2010-0224vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Sandisk"", ""product"": ""cruzer_enterprise_usb""}]","[{""score"": ""4.6"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""3.9"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0224
CVE-2010-0225,SanDisk Cruzer Enterprise USB Root Key Disclosure,"The following products are affected byCVE-2010-0225vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Sandisk"", ""product"": ""cruzer_enterprise_firmware""}, {""id"": ""2"", ""vendor"": ""Sandisk"", ""product"": ""cruzer_enterprise""}]","[{""score"": ""4.6"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""3.9"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0225
CVE-2010-0226,SanDisk Cruzer Enterprise USB Flash Drive Password Replay Attack,"The following products are affected byCVE-2010-0226vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Sandisk"", ""product"": ""cruzer_enterprise_usb""}]","[{""score"": ""4.6"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""3.9"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0226
CVE-2010-0227,Verbatim Corporate Secure / FIPS Edition USB Hardware Password Authentication Vulnerability,"The following products are affected byCVE-2010-0227vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.","Jan. 7, 2010, 7:30 p.m.","April 9, 2025, 12:30 a.m.",No,cve@mitre.org,,"[{""id"": ""1"", ""vendor"": ""Verbatim"", ""product"": ""corporate_secure""}]","[{""score"": ""4.6"", ""version"": ""CVSS 2.0"", ""severity"": ""MEDIUM"", ""vector"": ""AV:L/AC:L/Au:N/C:P/I:P/A:P"", ""exploitability_score"": ""3.9"", ""impact_score"": ""6.4"", ""source"": ""nvd@nist.gov""}]",https://cvefeed.io/vuln/detail/CVE-2010-0227
