cve_id,published,last_modified,source_identifier,url,cve_year
CVE-2020-5179,2020-01-02T14:16:37.097,2024-11-21T05:33:37.977,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5179,2020
CVE-2020-5310,2020-01-03T01:15:11.087,2024-11-21T05:33:53.150,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5310,2020
CVE-2020-5311,2020-01-03T01:15:11.167,2024-11-21T05:33:53.303,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5311,2020
CVE-2020-5312,2020-01-03T01:15:11.243,2024-11-21T05:33:53.453,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5312,2020
CVE-2020-5313,2020-01-03T01:15:11.320,2024-11-21T05:33:53.620,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5313,2020
CVE-2020-1785,2020-01-03T15:15:12.070,2024-11-21T05:11:22.573,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1785,2020
CVE-2020-1871,2020-01-03T15:15:12.133,2024-11-21T05:11:30.927,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1871,2020
CVE-2020-5395,2020-01-03T20:15:12.653,2024-11-21T05:34:03.567,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5395,2020
CVE-2020-5496,2020-01-03T22:15:13.333,2024-11-21T05:34:10.007,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5496,2020
CVE-2020-5497,2020-01-04T03:15:10.630,2024-11-21T05:34:10.137,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5497,2020
CVE-2020-5499,2020-01-04T07:15:11.147,2024-11-21T05:34:10.310,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5499,2020
CVE-2020-5305,2020-01-05T23:15:11.467,2024-11-21T05:33:52.590,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5305,2020
CVE-2020-5306,2020-01-05T23:15:11.577,2024-11-21T05:33:52.743,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5306,2020
CVE-2020-5191,2020-01-06T01:15:10.840,2024-11-21T05:33:38.950,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5191,2020
CVE-2020-5192,2020-01-06T01:15:10.917,2024-11-21T05:33:39.090,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5192,2020
CVE-2020-5519,2020-01-06T13:15:10.833,2024-11-21T05:34:12.047,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5519,2020
