id,title,published,last_modified,cvss_score,severity,cvss_version,url,source_identifier,status
CVE-2025-8755,CVE-2025-8755 - macrozheng mall com.macro.mall.portal.controller UmsMemberController.java detail authorization,2025-08-09T14:15:27.090000Z,2025-09-02T19:23:47.317000Z,5.5,MEDIUM,CVSS 4.0,https://cvefeed.io/vuln/detail/CVE-2025-8755,cna@vuldb.com,Analyzed
CVE-2025-8753,CVE-2025-8753 - linlinjava litemall File delete path traversal,2025-08-09T14:15:26.877000Z,2025-09-11T14:56:54.727000Z,5.5,MEDIUM,CVSS 2.0,https://cvefeed.io/vuln/detail/CVE-2025-8753,cna@vuldb.com,Analyzed
CVE-2025-7726,CVE-2025-7726 - The7 <= 12.6.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via title and data-dt-img-description Attributes,2025-08-09T14:15:26.197000Z,2025-08-11T18:32:48.867000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-7726,security@wordfence.com,Awaiting Analysis
CVE-2025-7020,CVE-2025-7020 - BYD DiLink OS Incorrect encryption Implementation of system log dumps,2025-08-09T13:15:25.180000Z,2025-08-11T18:32:48.867000Z,5.1,MEDIUM,CVSS 4.0,https://cvefeed.io/vuln/detail/CVE-2025-7020,cve@asrg.io,Awaiting Analysis
CVE-2025-8752,CVE-2025-8752 - wangzhixuan spring-shiro-training add command injection,2025-08-09T12:15:25.753000Z,2025-09-16T15:25:37.710000Z,9.8,CRITICAL,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8752,cna@vuldb.com,Analyzed
CVE-2025-8751,CVE-2025-8751 - Protected Total WebShield Extension Block Page cross site scripting,2025-08-09T08:15:24.693000Z,2025-09-16T15:32:28.577000Z,6.1,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8751,cna@vuldb.com,Analyzed
CVE-2025-8750,CVE-2025-8750 - macrozheng mall Add Product Page upload cross site scripting,2025-08-09T07:15:27.210000Z,2025-09-02T19:23:28.320000Z,5.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8750,cna@vuldb.com,Analyzed
CVE-2025-8746,CVE-2025-8746 - GNU libopts __strstr_sse2 memory corruption,2025-08-09T06:15:35.580000Z,2025-09-16T15:36:22.123000Z,5.5,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8746,cna@vuldb.com,Analyzed
CVE-2025-8771,CVE-2025-8771 - Apache Database Configuration Insecure Feature,2025-08-09T05:15:29.653000Z,2025-08-09T05:15:29.653000Z,0.0,NA,,https://cvefeed.io/vuln/detail/CVE-2025-8771,cna@vuldb.com,Rejected
CVE-2025-8745,CVE-2025-8745 - Weee RICEPO App com.ricepo.app AndroidManifest.xml improper export of android application components,2025-08-09T05:15:29.473000Z,2025-09-16T16:06:37.280000Z,5.5,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8745,cna@vuldb.com,Analyzed
CVE-2025-4655,CVE-2025-4655 - Liferay Portal SSRF Template Bypass,2025-08-09T05:15:29.330000Z,2025-08-11T18:32:48.867000Z,2.0,LOW,CVSS 4.0,https://cvefeed.io/vuln/detail/CVE-2025-4655,security@liferay.com,Awaiting Analysis
CVE-2025-4581,CVE-2025-4581 - Liferay Portal Blind SSRF Vulnerability,2025-08-09T05:15:29.060000Z,2025-08-11T18:32:48.867000Z,5.3,MEDIUM,CVSS 4.0,https://cvefeed.io/vuln/detail/CVE-2025-4581,security@liferay.com,Awaiting Analysis
CVE-2025-55149,CVE-2025-55149 - Path Traversal Vulnerability in PDF Review Function (CWE-22),2025-08-09T03:15:47.770000Z,2025-08-11T18:32:48.867000Z,6.7,MEDIUM,CVSS 4.0,https://cvefeed.io/vuln/detail/CVE-2025-55149,security-advisories@github.com,Awaiting Analysis
CVE-2025-55013,CVE-2025-55013 - Assemblyline 4 Service Client: Arbitrary Write through path traversal in Client code,2025-08-09T03:15:47.620000Z,2025-08-12T14:15:29.400000Z,4.2,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55013,security-advisories@github.com,Awaiting Analysis
CVE-2025-55009,CVE-2025-55009 - AuthKit: Sensitive auth data rendered in HTML,2025-08-09T03:15:47.483000Z,2025-08-11T18:32:48.867000Z,7.1,HIGH,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55009,security-advisories@github.com,Awaiting Analysis
CVE-2025-55008,CVE-2025-55008 - AuthKit React Router: Sensitive auth data rendered in HTML,2025-08-09T03:15:47.327000Z,2025-08-11T18:32:48.867000Z,7.1,HIGH,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55008,security-advisories@github.com,Awaiting Analysis
CVE-2025-55006,CVE-2025-55006 - Frappe Learning Holds Potential for Malicious SVG Upload in Image Upload Feature,2025-08-09T03:15:47.177000Z,2025-10-06T20:18:18.127000Z,8.8,HIGH,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55006,security-advisories@github.com,Analyzed
CVE-2025-55003,CVE-2025-55003 - OpenBao Login MFA Bypasses Rate Limiting and TOTP Token Reuse,2025-08-09T03:15:47.030000Z,2025-08-12T20:39:40.253000Z,5.7,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55003,security-advisories@github.com,Analyzed
CVE-2025-55001,CVE-2025-55001 - OpenBao LDAP MFA Enforcement Bypass When Using Username As Alias,2025-08-09T03:15:46.887000Z,2025-08-12T20:44:04.173000Z,6.5,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55001,security-advisories@github.com,Analyzed
CVE-2025-55000,CVE-2025-55000 - OpenBao TOTP Secrets Engine Enables Code Reuse,2025-08-09T03:15:46.737000Z,2025-08-12T20:44:13.320000Z,6.5,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-55000,security-advisories@github.com,Analyzed
CVE-2025-54999,CVE-2025-54999 - OpenBao: Timing Side-Channel in Userpass Auth Method,2025-08-09T03:15:46.597000Z,2025-08-12T20:46:00.980000Z,3.7,LOW,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-54999,security-advisories@github.com,Analyzed
CVE-2025-54998,CVE-2025-54998 - OpenBao Userpass and LDAP User Lockout Bypass,2025-08-09T03:15:46.463000Z,2025-08-12T20:50:55.900000Z,5.3,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-54998,security-advisories@github.com,Analyzed
CVE-2025-54997,CVE-2025-54997 - OpenBao: Privileged Operator May Execute Code on the Underlying Host,2025-08-09T03:15:46.263000Z,2025-08-13T18:23:12.113000Z,9.1,CRITICAL,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-54997,security-advisories@github.com,Analyzed
